high,low,volume,close,open,time
255.68,255.12,2245852.0,255.29,255.44,1595620800
255.825,255.2,26844.0,255.24,255.24,1595624400
255.25,254.9,17426.0,254.9,255.2,1595628000
255.15,254.8,34555.0,255.08,254.9,1595631600
256.92,256.55,50890.0,256.64,256.64,1595836800
257.44,256.68,31629.0,257.36,256.68,1595840400
258.26,257.11,75801.0,257.86,257.33,1595844000
258.02,257.4,145136.0,258.0,257.81,1595847600
258.24,256.34,224919.0,257.37,257.2504,1595851200
259.29,256.52,5380999.0,259.05,257.37,1595854800
259.45,257.94,5695979.0,258.56,259.08,1595858400
258.655,256.445,4925753.0,257.6,258.53,1595862000
258.4499,257.35,2470389.0,258.4,257.6,1595865600
258.96,258.351,2014332.0,258.845,258.395,1595869200
259.92,258.81,3536135.0,259.253,258.85,1595872800
260.52,259.21,9614384.0,260.08,259.24,1595876400
260.6,259.98,1767595.0,260.56,260.08,1595880000
260.62,260.45,21242.0,260.59,260.56,1595883600
261.1,260.59,215320.0,260.9,260.6,1595887200
261.18,260.61,219459.0,260.96,260.98,1595890800
260.71,259.98,40067.0,260.52,260.64,1595923200
260.67,259.25,32840.0,259.47,260.55,1595926800
259.85,259.0,60620.0,259.85,259.48,1595930400
260.08,258.65,315591.0,258.88,259.88,1595934000
261.25,258.7,150980.0,259.68,259.3999,1595937600
259.71,257.56,4806013.0,258.27,259.65,1595941200
259.36,257.95,4244553.0,259.2,258.29,1595944800
259.85,258.39,2765626.0,258.99,259.22,1595948400
259.465,258.42,2624899.0,259.36,258.99,1595952000
259.83,258.9101,1803592.0,259.5,259.36,1595955600
259.55,258.47,3562314.0,258.5908,259.51,1595959200
258.66,256.51,8341408.0,256.75,258.59,1595962800
257.38,256.6475,2339988.0,257.37,256.76,1595966400
257.64,257.3,52847.0,257.54,257.38,1595970000
257.93,257.49,109644.0,257.77,257.58,1595973600
257.75,257.36,83738.0,257.73,257.75,1595977200
258.44,257.95,19863.0,258.19,258.34,1596009600
258.27,257.75,17925.0,258.27,258.21,1596013200
258.6,258.22,25864.0,258.22,258.34,1596016800
258.58,258.14,77430.0,258.48,258.22,1596020400
259.0,256.55,258657.0,258.61,258.53,1596024000
258.89,257.91,3329116.0,258.58,258.54,1596027600
259.695,258.56,2933861.0,259.53,258.6102,1596031200
259.608,259.05,2147586.0,259.2,259.53,1596034800
259.42,258.21,3478144.0,259.2,259.19,1596038400
259.38,258.765,1670860.0,258.98,259.2,1596042000
260.66,258.6,3516603.0,259.51,258.97,1596045600
260.41,258.84,8213466.0,259.83,259.52,1596049200
260.98,259.58,1862444.0,260.98,259.81,1596052800
260.96,260.72,62190.0,260.86,260.96,1596056400
261.03,260.51,108348.0,260.54,260.88,1596060000
260.7,260.42,96375.0,260.55,260.54,1596063600
257.99,256.81,55779.0,256.92,257.8,1596096000
258.29,256.71,53843.0,258.02,256.81,1596099600
258.15,256.29,187118.0,256.7,258.05,1596103200
258.53,256.85,592642.0,258.17,256.85,1596106800
260.54,256.39,600944.0,257.19,257.7501,1596110400
259.1099,256.7,6152498.0,257.22,257.18,1596114000
258.58,256.55,7071859.0,258.44,257.25,1596117600
260.35,258.11,3974276.0,259.9785,258.43,1596121200
261.22,259.7711,4973883.0,260.74,259.98,1596124800
261.5,260.41,3989508.0,261.27,260.73,1596128400
261.6,260.43,3513235.0,261.3088,261.25,1596132000
261.71,260.65,5823360.0,261.16,261.31,1596135600
265.77,260.78,3743887.0,265.75,261.22,1596139200
265.95,265.3,344792.0,265.95,265.66,1596142800
266.53,265.41,379912.0,265.57,265.96,1596146400
266.19,265.47,311985.0,266.04,265.6,1596150000
266.33,265.46,26656.0,266.03,265.48,1596182400
266.29,265.42,50263.0,265.42,265.9,1596186000
